"INCIDENT_ID","OFFENSE_ID","OFFENSE_CODE","OFFENSE_CODE_EXTENSION","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","FIRST_OCCURRENCE_DATE","LAST_OCCURRENCE_DATE","REPORTED_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","GEO_LON","GEO_LAT","DISTRICT_ID","PRECINCT_ID","NEIGHBORHOOD_ID","IS_CRIME","IS_TRAFFIC"
"2018248658","2018248658549902","5499","2","vehicular-eluding-no-chase","all-other-crimes","4/14/2018 4:40:00 AM","","4/14/2018 5:07:00 AM","800 BLK S YATES ST","3126331","1680592","-105.05102540","39.70116870","4","412","westwood","1","0"
"2018251938","2018251938549900","5499","0","traf-other","all-other-crimes","4/15/2018 5:00:00 PM","","4/15/2018 6:23:00 PM","7300 BLK E COLFAX AVE","3167822","1694911","-104.90323770","39.73982160","2","223","east-colfax","1","0"
"2018249255","2018249255544100","5441","0","traffic-accident","traffic-accident","4/14/2018 1:04:00 PM","","4/14/2018 3:10:00 PM","W ALAMEDA AVE / S SHERIDAN BLVD","3125686","1684294","-105.05325290","39.71134030","4","412","westwood","0","1"
"20186003456","20186003456239901","2399","1","theft-bicycle","larceny","4/13/2018 9:33:00 AM","4/13/2018 4:15:00 PM","4/13/2018 6:24:00 PM","1550 WEWATTA ST","3139880","1699378","-105.00250810","39.75254630","6","612","union-station","1","0"
"2018247623","2018247623258901","2589","1","drug-forgery-to-obtain","white-collar-crime","4/8/2018 2:52:00 PM","","4/13/2018 6:45:00 PM","7930 E NORTHFIELD BLVD","3170025","1710878","-104.89502610","39.78361330","5","511","stapleton","1","0"
"2018246659","2018246659544100","5441","0","traffic-accident","traffic-accident","4/13/2018 11:15:00 AM","","4/13/2018 11:21:00 AM","","3151997","1695584","-104.95949450","39.74194110","2","213","city-park","0","1"
"2018251831","2018251831220200","2202","0","burglary-residence-by-force","burglary","4/15/2018 1:40:00 PM","4/15/2018 4:24:00 PM","4/15/2018 4:24:00 PM","3215 W 31ST AVE","3132525","1702468","-105.02860910","39.76113650","1","113","west-highland","1","0"
"2018250038","2018250038549900","5499","0","traf-other","all-other-crimes","4/14/2018 8:30:00 PM","","4/14/2018 8:55:00 PM","E 35TH AVE / N JASMINE ST","3163381","1704283","-104.91881590","39.76562830","2","221","northeast-park-hill","1","0"
"2018252866","2018252866549900","5499","0","traf-other","all-other-crimes","4/16/2018 2:09:00 AM","","4/16/2018 3:30:00 AM","N PEORIA ST / E ALBROOK DR","3183522","1710525","-104.84701240","39.78238780","5","511","montbello","1","0"
"2018249650","2018249650531200","5312","0","disturbing-the-peace","public-disorder","4/14/2018 6:00:00 PM","","4/14/2018 6:08:00 PM","2380 S HIGH ST","3150616","1670606","-104.96492840","39.67339370","3","313","university","1","0"
"20188017161","20188017161544100","5441","0","traffic-accident","traffic-accident","4/14/2018 11:00:00 AM","","4/14/2018 11:05:00 AM","7600 BLOCK PENA BLVD INBOUND","3205594","1729450","-104.76793890","39.83387640","5","522","dia","0","1"
"20188017101","20188017101230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","4/11/2018 7:00:00 AM","","4/13/2018 6:55:00 PM","8400 PENA BLVD","3231977","1735292","-104.67381230","39.84929170","7","759","dia","1","0"
"2018252709","2018252709549900","5499","0","traf-other","all-other-crimes","4/15/2018 11:43:00 PM","","4/16/2018 12:17:00 AM","W 10TH AVE / N MARIPOSA ST","3139830","1691929","-105.00283090","39.73209820","1","123","lincoln-park","1","0"
"2018252728","2018252728131600","1316","0","threats-to-injure","public-disorder","4/15/2018 11:52:00 PM","","4/16/2018 1:43:00 AM","1600 E EVANS AVE","3149618","1672370","-104.96843710","39.67825240","3","313","university","1","0"
